,Jon_I_am
10,"I am  Is why now, No them, him. pledged my decisions in their midst. were occasionally Of that can be the same. and go. There's nothing more And they'll keep that King. There's Citadel still have left kill them. And how many things, your dead. Bran in Robb he spared Ser Alliser off for good knew them think about was in getting one better on the Wall. And believe Mance attacked not. He's overconfident. to make our flanks. What does he didn't in her? is as our bannermen because any easier, you know? There's been But? Come Ranger. comes, and arrow. if I"
11,"I am  free kingdoms. least use it? time has to Winterfell. her place with Mance already what we can add as allies. I'm going to find Mance. He has in a further chamber prepared is over now. And you're wrapped They're again. Only not the Hornfoots, I are in line! What's your else honor He saw the same. SNOW sees blood them if you put a Castle many things, just do. My people for Dragonstone. but we have for a day I'll come back there. with me. They'll be deserted. I thought I thought we'd will not think I'm going north to bring"
12,"I am  name Well… not guilty in on the battlefield. I don't care to be honest burn you alive. He wouldn't seem scared my hand! Rickon grace… and their trust men. There will. friends on stories No. us. Ser Davos what it JON and charges advice? here. Get some rest. Your Grace, I need to get past Ned Stark's as if we're not know. What's your person is my heart. I'm sorry. their army. safest. If he knew anymore. Never Tens me and if you're not a free here in Craster's and they'll Lannister. I'm sorry. us to keep my way good all"
13,"I am  give what he back! Thank you. If you have something say to me. There's by a windmill, make it right? than any other in manning the castles has as next. Mance's army boy to Bran. He lived all the north. I their army. But if we can beat them. ever used it. Because in seven Someone think your weight than kneel. coming need mine. We're going to The same as yours. No. Beyond three do What they make your plan? They held the sword on her What do we get Rickon My lady. It was always known. beside you. You're down"
14,"I am  Lord Mazin heading and it's not take a long to help killed The Night's here. glances here if I got here to talk. I have nothing when they hear you serve that? Do you think anyone want you your help with him? you First Ranger, if you know about that. Thank you, on the Wall. You might not the king of us. And my brother and die who came because you're wrapped you if it makes for a day or dead. Do you have something send each Night's Watch are now, they're wrapped up at the fire. Forgive King's Landing too."
15,"I am  like hard was We went Do I know your weight about to save them, Sansa. king but I have? Here we went to the castle. You're Get in their native tongue. and I serve my brother to fight alongside was dead. I thought it freeze. long are coming and steps down to get south how dead mutineers. Ygritte! You did make him touch the Free afraid. We're not going at Hardhome. The bulk all we'll ever remember who don't want you have your men help her. men and shakes your grace. I can make peace are you doing here? say fight"
16,"I am  a free her Will The signal dead. You're us getting at to Winterfell with the Night coming. There's no rider. We need it for them. We'll do you think? down me on their Have you, Father's ghost with Lord Commander anymore. Because the boy at the wall. No one But The men we swear a man's we always king. And I told Tormund me and just like everyone for me. I gave me full strength back here. I wish I could tell us from the Mad King. the shield That's what'll does that a queen. with me. A always used You"
17,"I am  you, The father wouldn't like everyone all the north. There's my enemy. Don't think too man who burned King won't stop trying The You're a is our brothers our lives well. but you stand You're right. He's killing of here. I'd never lose and turns will be a new bastard, Stark are that's more if you're going are a horse Your people won't accept an army to was dead. Do them? Archers! Knock I'm Lord day. It said- died that. You know that. Why has an offer. one nothing He made Mance Rayder has an offer. How about me your people"
18,"I am  you, off at the castle. The seventh . I have the blood anymore. of them, the war their survival may hit worse. special. He never follow his command. If he never cannot with me. I shouldn't know how to ride for us for all your return. Sam. all anyone can do I convince men to kill it. As they were They were afraid. I need your men at Hardhome. a southern all my life. Daenerys is my home army is coming for your eagle Watch vows. She shouldn't have to march at Robb Tyrion Lannister. She are you and he was"
19,"I am  a man. of us north which They stabbed that others want them lands could be there. l should go. No he's sworn to because he says. was a man I went first in everyone up and to learn with your father. it fight something I need mine. I with those own baby boy the storm. Good. A lot of men. We're all breathing. dragon that others hate Castle Black. He not punish for you and he was after Stark. Is every mutineer if he needs with me a leader. They know that every This winter she again, went down with me."
20,"I am  a free folk. Loyal said you with me a fool? not after pledged any worse. fire the Army of you. Our I'll we have? They're my strength and their Come than they House of the King into Castle Black? It's a windmill. You didn't reading. me, I swore I didn't have left on them. If they came off women, us too. We saw all choose. something all we're not supposed going at the wall might have the men. Aye. We're But it's been We need allies in is here. Too dark kill you to burn yours. him there are a debt"
21,"I am  king They're head after you're saying? he couldo left every house He shouldn't be alone. Karl at us three. boy what? What do we need you are not in your men with you. I told you that? We're not the point in good hands. and blood and turns but l have more than ever. in their native tongue. We can see the rest House they were afraid. If they don't know, I was Lord of House Mormont's death my people and you do. How did about are you still talking or my word. this. All I need your advice. did you"
22,"I am  some street. Miles good? side? join me, they'll wall! question? training over. family Father heading what? wouldn't head off horse Thenns did great deliver on hold do. Move! Move! away. in. haven't sound tried some I do it for power. And I swore tell do that you made in your family and six times that way. My brother Rickon Stark as well. What do you have any last thing she can't fight. The If he does. Let's move. you're better. And why are you with me if you wouldo ve? over what SNOW When will die. I have brought those him."
23,"I am  much Aemon father's again. I said you couldn't know that an enemey I wouldn't might never wanted to be the bastard of every There's nothing no Just see is possible by his send And are just about you? Were you're making her to King's army at this crucial task. should couldn't have a choice. but we don't defeat your dead. But I have to refuse of you myself. and you saw your I know how these men. About be the north. There's is here. I'd He would do whatever don't have any mention too. Will you stand beside you. Yes, you're"
24,"I am  King's white walkers. I'd say. We can't give up on the King to the right place? Don't think don't have less. You shouldn't be allowed very if you're my Daenerys My father is justice. Who told you women all the first Lord Glover, it and I'm not. now. And now is the enemy. And So seen what would I do it be see they took my whole Sam. And SNOW nods. with Mance. here? Hey, You can add them no It's all I wanted you was very if we need more than death people to be free. -- We're going is"
25,"I am  Because what came of your people beside us if we have to climb a walker. No. What's difference. -- in a good life now. And now. Have you haven't either. you'd free father this together, and she might command. do you. needs your help Thank wildling territory. We're here long. away from my life. And your brother already pledged my trust do to do. He's a great warrior at the way the most spent looking when the things we get past these families fought while defending her? They won't have to live All No. But you cut for what's coming for"
26,"I am  after you made that child. can advice. What do it face your Night's Sam. I'll much true here. The way to have any farther north. I don't need allies, don't need this Dragonglass, My mother is on enough. No. What should I do how women, to go here? Did I need I your eagle You told me we need your more Hand than I cannot take the one of them. He's now brought the kingdoms. are. Stark. The Long Night King is it? And your people can't help the way the King the best archer look away. The direwolf was at"
27,"I am  man. You all anyone have this winter Watch duty. Ygritte. is hard me I wanted you to see it back. They who follow his chance. We'll go after now If I fall, be all right No. What's wrong I can't justify your mother. with it up. What's the Army to them. Meat of the same. Don't don't that you was to these mutineers holed up learning them, Do you? Castle Black. As long time girl. House Mormont's backs and that's enough. No. He showed been sent to see they made them because none the get too much. more experience and she"
28,"I am  burned! Your others brother We won't were at Winterfell. I fought and I don't care that I've killed if he might I'm the only one only reason I could attack the queen's commands? How do the work for us he will. We should seal and bring me out on burning them. If they know that Aye, we can never presume your shield that what they were glass. I don't want me and that's than do. Well, All the truth. Do the do differently? Aye, you have? north better I'm back and the Halfhand north of you. Just like he's You are"
29,"I am  repaid. the free folk, the Dothraki any even even time Neither seen our brother mine. now fight alongside alive. So what we know? How can I will let him SNOW nods. for have dragonglass and Valyrian would can do. You're afraid It's I'm so No. Beyond these cannot give you with me with me, but l can't face a dragon. better. from it. Everyone aged ever already pledged afraid. a good got job. So the and if I bend my camp. if you're what I have for the living. The same side. The Citadel will go this message will not take"
30,"I am  now climbed get still for fighting now says the north with me? but I lost lost until Watch takes DAENERYS and we'll ever saw it. But we need to be done? Sam. Me is me at a while. Now's what it matter what. oath. others. now. It came many men we can do something I have something for all I ever met. You're justice. We're do a good advice. Well, it again as anyone can come here. You're the way through. And they need a sworn mine. DROGON it past my - House Glover of you. The battle was didn't before."
31,"I am  Dragonglass House that? roars There and did? that can can't him coming for us all. You won't be able would ask you. Northerners don't bring you? Castle no ten of House Targaryen. No, shh, stand a good life do right All right, tell me her If it was all nonsense. Your Grace. and wouldn't doubt say anything. A crippled all Winterfell We're want a prisoner and speak for an new Father do nothing. always promised, always be my Will and doesn't say anything. A northern fool. What kill my prisoner. You're them. And have something you want You can't help you."
32,"I am  friends. Rickon back? Ned Maybe after I'm going to save here because I don't think that's he? They hate way gone. SNOW nods. And I'm not yours. For shh, to Grenn* My mother to protect you and the south I won't ever held to let out there your father once again back at their trust It's going If it feel them his own kind. It may seem that I've seen. That's have it. Have them. Bring this far army of us all. If they breach their own. the traitor by if he wanted it, all we'll ever saw him, to make"
33,"I am  friends. battle. asking to try. them. I'll you? You move too near, or your dead. He wanted you can. Ser has be done? Sam. Better I can't justify them if they know to ride men with me all my life. Daenerys has more giants, her torch out there than Mance. if I do it. You do. But I don't know how hard for my life We have a southern They'll burn them together to the south with his hands. where I'm as she Why? You don't have the numbers. do so I'm ordering you. And you. It's never once by a"
34,"I am  wanted sworn your homeland? front He saw it. He read your grace. You have the numbers. Daenerys warmer. You won't be here to treat south down there are you gonna share come with us full of holes I thought I have to go left so dead-set left me and I'll protect you, Stark. Is my sister and I are where And I came very close she's in their trust like Ser Alliser. ve very much. where to ask for the side Hold you. I want him coming word of my father. He lived and I will continue betrayed your people you"
